iata_code,municipality,country
HUS,Hughes,United States of America
HUT,Hutchinson,United States of America
HVE,Hanksville,United States of America
HVN,New Haven,United States of America
HVR,Havre,United States of America
HVS,Hartsville,United States of America
HWD,Hayward,United States of America
HWO,Hollywood,United States of America
HYA,Hyannis,United States of America
HYR,Hayward,United States of America
HYS,Hays,United States of America
HZL,Hazleton,United States of America
IAB,Wichita,United States of America
IAD,Dulles,United States of America
IAG,Niagara Falls,United States of America
IAH,Houston,United States of America
IAN,Kiana,United States of America
ICL,Clarinda,United States of America
ICS,Cascade,United States of America
ICT,Wichita,United States of America
ICY,Icy Bay,United States of America
IDA,Idaho Falls,United States of America
IDH,Grangeville,United States of America
IDI,Indiana,United States of America
IDP,Independence,United States of America
IFA,Iowa Falls,United States of America
IFP,Bullhead City,United States of America
IGG,Igiugig,United States of America
IGM,Kingman,United States of America
IKB,North Wilkesboro,United States of America
IKK,Kankakee,United States of America
IKO,Nikolski,United States of America
ILE,Killeen,United States of America
ILG,Wilmington,United States of America
ILI,Iliamna,United States of America
ILL,Willmar,United States of America
ILM,Wilmington,United States of America
ILN,Wilmington,United States of America
IML,Imperial,United States of America
IMM,Immokalee,United States of America
IMT,Kingsford,United States of America
IND,Indianapolis,United States of America
INK,Wink,United States of America
INL,International Falls,United States of America
INS,Indian Springs,United States of America
INT,Winston Salem,United States of America
INW,Winslow,United States of America
IOW,Iowa City,United States of America
IPL,Imperial,United States of America
IPT,Williamsport,United States of America
IRB,Iraan,United States of America
IRC,Circle,United States of America
IRK,Kirksville,United States of America
IRS,Sturgis,United States of America
ISM,Orlando,United States of America
ISO,Kinston,United States of America
ISP,Islip,United States of America
ISQ,Manistique,United States of America
ISS,Wiscasset,United States of America
ISW,Wisconsin Rapids,United States of America
ITH,Ithaca,United States of America
ITO,Hilo,United States of America
IUA,Ontario County IDA,United States of America
IWD,Ironwood,United States of America
IWS,Houston,United States of America
IYK,Inyokern,United States of America
JAC,Jackson,United States of America
JAN,Jackson,United States of America
JAS,Jasper,United States of America
JAX,Jacksonville,United States of America
JBR,Jonesboro,United States of America
JCI,New Century,United States of America
JCT,Junction,United States of America
JCY,Stonewall,United States of America
JDA,John Day,United States of America
JDN,Jordan,United States of America
JEF,Jefferson City,United States of America
JFK,New York,United States of America
JFN,Ashtabula,United States of America
JHM,Lahaina,United States of America
JHW,Jamestown,United States of America
JKV,Jacksonville,United States of America
JLA,Cooper Landing,United States of America
JLN,Joplin,United States of America
JMS,Jamestown,United States of America
JNU,Juneau,United States of America
JOT,Joliet,United States of America
JRF,Kapolei,United States of America
JST,Johnstown,United States of America
JVI,Manville,United States of America
JVL,Janesville,United States of America
JXN,Jackson,United States of America
KAL,Kaltag,United States of America
KBC,Birch Creek,United States of America
KCG,Chignik,United States of America
KCL,Chignik Flats,United States of America
KCQ,Chignik Lake,United States of America
KCR,Colorado Creek,United States of America
KDK,Kodiak,United States of America
KEB,Nanwalek,United States of America
KEK,Ekwok,United States of America
KFP,False Pass,United States of America
KGK,Koliganek,United States of America
KGX,Grayling,United States of America
KGZ,Glacier Creek,United States of America
KIC,King City,United States of America
KIP,Wichita Falls,United States of America
KKA,Koyuk,United States of America
KKH,Kongiganak,United States of America
KKI,Akiachak,United States of America
KKK,Kalakaket Creek,United States of America
KKT,Kentland,United States of America
KKU,Ekuk,United States of America
KLG,Kalskag,United States of America
KLL,Levelock,United States of America
KLN,Larsen Bay,United States of America
